direct	iata	name	country	country_name
False	USA	Конкорд	US	США
False	BKZ	Букоба	TZ	Танзания
False	MWA	Мэрион	US	США
False	AUC	Араука	CO	Колумбия
False	PAE	Эверетт	US	США
False	ECP	Панама-Сити	US	США
False	LYB	Малый Кайман	KY	Каймановы острова
False	YYF	Пентиктон	CA	Канада
False	RIW	Ривертон	US	США
False	BXH	Балхаш	KZ	Казахстан
False	MQJ	Хонуу	RU	Россия
False	DHG	Дальнегорск	RU	Россия
