direct	iata	name	country	country_name
False	EBU	Сент-Этьен	FR	Франция
False	TTJ	Тоттори	JP	Япония
False	NGK	Ноглики	RU	Россия
False	URY	Гураят	SA	Саудовская Аравия
False	IRJ	Ла-Риоха	AR	Аргентина
False	PUW	Пулман	US	США
False	AAH	Ахен	DE	Германия
False	TRZ	Тируччираппалли	IN	Индия
False	BQT	Брест	BY	Беларусь
False	NLD	Нуэво-Ларедо	MX	Мексика
False	CFG	Сьенфуэгос	CU	Куба
False	BLI	Беллингхем	US	США
False	GER	Нуэва-Херона	CU	Куба
False	AIY	Атлантик-Сити	US	США
False	YPR	Принс-Руперт	CA	Канада
False	GLT	Гладстон	AU	Австралия
False	KTA	Каррата	AU	Австралия
False	TYL	Талара	PE	Перу
False	ITU	Итуруп	RU	Россия
False	AOR	Алор-Сетар	MY	Малайзия
False	IEG	Зелёна-Гура	PL	Польша
False	AHU	Эль-Хосейма	MA	Марокко
False	BJA	Беджая	DZ	Алжир
False	TKS	Токусима	JP	Япония
False	TYD	Тында	RU	Россия
False	FKS	Фукусима	JP	Япония
False	PLN	Пелстон	US	США
False	WYS	Уэст-Йеллоустон	US	США
False	ABR	Абердин	US	США
False	AKY	Ситуэ	MM	Мьянма
False	CBO	Котабато	PH	Филиппины
False	CBQ	Калабар	NG	Нигерия
False	FEN	Фернанду-ди-Норонья	BR	Бразилия
False	HAD	Хальмстад	SE	Швеция
False	HUU	Уануко	PE	Перу
False	KNH	Цзиньмэнь	TW	Тайвань
False	NLK	Норфолк	NF	Норфолк
False	OTZ	Коцебу	US	США
False	SSJ	Саннесшёэн	NO	Норвегия
False	ZBR	Чехбехар	IR	Иран
False	QXB	Экс-ан-Прованс	FR	Франция
False	MWX	Муан	KR	Южная Корея
False	HMB	Сохаг	EG	Египет
False	AJL	Аиджал	IN	Индия
False	QOW	Оверри	NG	Нигерия
False	NAO	Наньчун	CN	Китай
False	SEK	Среднеколымск	RU	Россия
False	CEN	Сьюдад-Обрегон	MX	Мексика
False	DNH	Дуньхуан	CN	Китай
False	DMM	Даммам	SA	Саудовская Аравия
False	TIF	Эт-Таиф	SA	Саудовская Аравия
False	PBM	Парамарибо	SR	Суринам
False	IDA	Айдахо-Фолс	US	США
False	BIL	Биллингс	US	США
False	BHM	Бирмингем	US	США
False	VPS	Дестин	US	США
False	GPT	Галфпорт	US	США
False	GTF	Грейт-Фолс	US	США
False	JAC	Джексон	US	США
False	JAN	Джексон	US	США
False	FCA	Калиспелл	US	США
False	CPR	Каспер	US	США
False	CAE	Коламбия	US	США
False	KOA	Каилуа-Кона	US	США
False	CRP	Корпус-Кристи	US	США
False	LBB	Лаббок	US	США
False	LWS	Льюистон	US	США
False	MFE	Мак-Аллен	US	США
False	YGJ	Йонаго	JP	Япония
False	MOQ	Мурундава	MG	Мадагаскар
False	CXB	Кокс-Базар	BD	Бангладеш
False	SAB	Саба	BQ	Бонайре
False	YMM	Форт-Мак-Муррей	CA	Канада
False	KUV	Кунсан	KR	Южная Корея
False	LZY	Ньингчи	CN	Китай
False	AYP	Аякучо	PE	Перу
False	HKN	Хоскинс	PG	Папуа — Новая Гвинея
False	LBL	Либерал	US	США
False	DIK	Дикинсон	US	США
False	CXJ	Кашиас-ду-Сул	BR	Бразилия
False	MBT	Масбате	PH	Филиппины
False	JAU	Хауха	PE	Перу
False	MCY	Саншайн-Кост	AU	Австралия
False	PHF	Ньюпорт-Ньюс	US	США
False	KWA	Кваджалейн	MH	Маршалловы острова
False	HGO	Корого	CI	Кот-д'Ивуар
False	KSF	Кассель	DE	Германия
False	MQX	Мекеле	ET	Эфиопия
False	NPE	Нейпир	NZ	Новая Зеландия
False	YFB	Икалуит	CA	Канада
False	UTS	Усть-Цильма	RU	Россия
False	JSH	Сития	GR	Греция
False	ACH	Санкт-Галлен	CH	Швейцария
False	PMY	Пуэрто-Мадрин	AR	Аргентина
False	RAE	Арар	SA	Саудовская Аравия
False	YUM	Юма	US	США
False	PQQ	Порт-Маккуори	AU	Австралия
False	JAV	Илулиссат	GL	Гренландия
False	JSY	Сирос	GR	Греция
False	CDT	Кастельон-де-ла-Плана	ES	Испания
False	MYJ	Мацуяма	JP	Япония
False	TRG	Тауранга	NZ	Новая Зеландия
False	XIL	Шилин-Хото	CN	Китай
False	YCG	Каслгар	CA	Канада
False	YQQ	Комокс	CA	Канада
False	ANS	Андауайлас	PE	Перу
False	AVP	Уилкс-Барре	US	США
False	HEA	Герат	AF	Афганистан
False	THS	Сукхотхай	TH	Таиланд
False	TGZ	Тустла-Гутьеррес	MX	Мексика
False	YSB	Грейтер-Садбери	CA	Канада
False	KVG	Кавиенг	PG	Папуа — Новая Гвинея
False	XJR	Лорка	ES	Испания
False	TET	Тете	MZ	Мозамбик
False	TUU	Табук	SA	Саудовская Аравия
False	SNO	Саконнакхон	TH	Таиланд
False	BFF	Скотсблафф	US	США
False	IZO	Идзумо	JP	Япония
False	EKS	Шахтёрск	RU	Россия
False	AGX	Агатти	IN	Индия
False	MBI	Мбея	TZ	Танзания
False	SJT	Сан-Анджело	US	США
False	NQN	Неукен	AR	Аргентина
False	HIA	Хуайань	CN	Китай
False	EKO	Элко	US	США
False	ASJ	Амами	JP	Япония
False	GUR	Алотау	PG	Папуа — Новая Гвинея
False	ISA	Маунт-Айза	AU	Австралия
False	MWZ	Мванза	TZ	Танзания
False	KSJ	Касос	GR	Греция
False	IKU	Иссык-Куль	KG	Кыргызстан
False	CFK	Эш-Шелифф	DZ	Алжир
False	GDQ	Гондэр	ET	Эфиопия
False	HDF	Херингсдорф	DE	Германия
False	LPX	Лиепая	LV	Латвия
False	TRC	Торреон	MX	Мексика
False	UIK	Усть-Илимск	RU	Россия
False	NST	Накхонситхаммарат	TH	Таиланд
False	PTG	Полокване	ZA	ЮАР
False	YQX	Гандер	CA	Канада
False	PEM	Пуэрто-Мальдонадо	PE	Перу
False	UKG	Усть-Куйга	RU	Россия
False	PAH	Падука	US	США
False	OMO	Мостар	BA	Босния и Герцеговина
False	IAG	Ниагара-Фолс	US	США
False	ZIH	Икстапа	MX	Мексика
False	MSL	Масл-Шолс	US	США
False	NTG	Наньтун	CN	Китай
False	WGA	Уогга-Уогга	AU	Австралия
False	TCO	Тумако	CO	Колумбия
False	KCO	Измит	TR	Турция
False	AOJ	Аомори	JP	Япония
False	DBQ	Дебьюк	US	США
False	YXX	Абботсфорд	CA	Канада
False	DWD	Давадми	SA	Саудовская Аравия
False	CPX	Кулебра	PR	Пуэрто-Рико
False	TNJ	Танджунгпинанг	ID	Индонезия
False	TVU	Тавеуни	FJ	Фиджи
False	TBP	Тумбес	PE	Перу
False	HGU	Маунт-Хаген	PG	Папуа — Новая Гвинея
False	LEA	Эксмут	AU	Австралия
False	SWO	Стилуотер	US	США
False	BRW	Барроу	US	США
False	MJF	Мушёэн	NO	Норвегия
False	BPT	Бомонт	US	США
False	CEC	Кресент-Сити	US	США
False	EGS	Эйильсстадир	IS	Исландия
False	FSP	Сен-Пьер	PM	Сен-Пьер и Микелон
False	PLW	Палу	ID	Индонезия
False	RSD	Рок-Саунд	BS	Багамы
False	CZS	Крузейру-ду-Сул	BR	Бразилия
False	EQS	Эскель	AR	Аргентина
False	GCC	Джиллетт	US	США
False	SUX	Су-Сити	US	США
False	CNJ	Клонкарри	AU	Австралия
False	DJB	Джамби	ID	Индонезия
False	TEN	Тунжэнь	CN	Китай
False	RAS	Решт	IR	Иран
False	SLK	Саранак-Лейк	US	США
False	FTU	Туланару	MG	Мадагаскар
False	LZC	Ласаро-Карденас	MX	Мексика
False	PSS	Посадас	AR	Аргентина
False	EGC	Бержерак	FR	Франция
False	GIU	Сигирия	LK	Шри-Ланка
False	GLH	Гринвилл	US	США
False	ERL	Эрэн-Хото	CN	Китай
False	OND	Ондангва	NA	Намибия
False	YMT	Шибугамо	CA	Канада
False	MSS	Массена	US	США
False	SHP	Циньхуандао	CN	Китай
False	VTB	Витебск	BY	Беларусь
False	ARU	Арасатуба	BR	Бразилия
False	MMY	Миякодзима	JP	Япония
False	HKK	Хокитика	NZ	Новая Зеландия
False	MGB	Маунт-Гамбиер	AU	Австралия
False	HVD	Ховд	MN	Монголия
False	KRL	Корла	CN	Китай
False	IPH	Ипох	MY	Малайзия
False	RJH	Раджшахи	BD	Бангладеш
False	WLS	Уоллис	WF	Уоллис и Футуна
False	SUK	Батагай-Алыта	RU	Россия
False	EAU	О-Клэр	US	США
False	DIB	Дибругарх	IN	Индия
False	ELU	Эль-Уэд	DZ	Алжир
False	CTC	Сан-Фернандо-дель-Валье-де-Катамарка	AR	Аргентина
False	JMS	Джеймстаун	US	США
False	HDN	Хейден	US	США
False	LGP	Легаспи	PH	Филиппины
False	IWJ	Масуда	JP	Япония
False	BGN	Белая Гора	RU	Россия
False	AFA	Сан-Рафаэль	AR	Аргентина
False	MGZ	Мьей	MM	Мьянма
False	TAP	Тапачула	MX	Мексика
False	YXJ	Форт-Сент-Джон	CA	Канада
False	VLY	Англси	GB	Великобритания
False	FBD	Файзабад	AF	Афганистан
False	HOF	Эль-Хуфуф	SA	Саудовская Аравия
False	PGD	Пунта-Горда	US	США
False	DCY	Дабба	CN	Китай
False	CNQ	Корриентес	AR	Аргентина
False	PGX	Перигё	FR	Франция
